Name,Type,Coords,Image,Description,Hours,latitude,longitude,Short,Ev,floorplans
Lot 24 [EV Charging],Blue Parking Lot,"33.97809861118095, -117.3305694047396",,"BLUE/RED/LIMITED GOLD  PERMIT

Gold Permit can park after 6 pm Monday through Friday, all day on weekends (excludes Pay-By-Space and Reserved spaces.)",,33.97809861,-117.3305694,,https://driver.chargepoint.com/mapCenter/33.97728455740467/-117.33032961386937/18,
Lot 60,Blue Parking Lot,"33.97661630769582, -117.33707759814634",,BLUE PERMIT,,33.97661631,-117.3370776,,,
Lot 15 [EV Charging],Red Parking Lot,"33.976698307683115, -117.32429737283547",,RED PERMIT,,33.97669831,-117.3242974,,https://driver.chargepoint.com/mapCenter/33.975919216385115/-117.32454630622942/18,
Lot 16,Housing Parking Lot,"33.975408149386205, -117.32541927140177",,HOUSING PERMIT,,33.97540815,-117.3254193,,,
Lot 13,Blue Parking Lot,"33.97491414890982, -117.32049454326845",,"BLUE/RED/LIMITED GOLD  PERMIT

Gold Permit can park after 6 pm Monday through Friday, all day on weekends (excludes Pay-By-Space and Reserved spaces.)",,33.97491415,-117.3204945,,,
Lot 1 [EV Charging],Blue Parking Lot,"33.974123733087566, -117.33239654732539",,"BLUE/RED/LIMITED GOLD  PERMIT

Gold Permit can park after 6 pm Monday through Friday, all day on weekends (excludes Pay-By-Space and Reserved spaces.)",,33.97412373,-117.3323965,,https://driver.chargepoint.com/mapCenter/33.9732099974611/-117.33206856141169/18,
Lot 19,Red Parking Lot,"33.975641640444366, -117.32987523109608",,RED PERMIT,,33.97564164,-117.3298752,,,
Lot 50 [EV Charging],Gold Parking Lot,"33.97470142220916, -117.33688565945509",,GOLD PERMIT,,33.97470142,-117.3368857,,https://driver.chargepoint.com/mapCenter/33.97459031556528/-117.33608698280335/18,
Lot 51,Gold Parking Lot,"33.97419827302722, -117.33661889656237",,GOLD PERMIT,,33.97419827,-117.3366189,,,
Lot 11,Red Parking Lot,"33.97231624406329, -117.32461203114539",,RED PERMIT,,33.97231624,-117.324612,,,
Lot 41,Red Parking Lot,"33.97542195864461, -117.3315985434257",,RED PERMIT,,33.97542196,-117.3315985,,,
Lot 12,Red Parking Lot,,,RED PERMIT,,33.97489815,-117.3268339,,,
Lot 42,Red Parking Lot,,,RED PERMIT,,33.97489815,-117.3268339,,,
Lot 9 [EV Charging],Blue Parking Lot,"33.97119691261777, -117.32317218611817",,"BLUE/LIMITED GOLD PERMIT

Gold Permit can park after 6 pm Monday through Friday, all day on weekends (excludes Pay-By-Space and Reserved spaces.)",,33.97119691,-117.3231722,,https://driver.chargepoint.com/mapCenter/33.97098394151568/-117.32251174722137/18,
Lot 43,Blue Parking Lot,"33.970089592370826, -117.3245674590821",,BLUE PERMIT,,33.97008959,-117.3245675,,,
,,,,,,33.97489815,-117.3268339,,,
Lot 3,Red Parking Lot,"33.968022884844096, -117.32628665013907",,RED PERMIT,,33.96802288,-117.3262867,,,
Lot 44,Red Parking Lot,,,RED PERMIT,,33.97489815,-117.3268339,,,
Lot 6 [EV Charging],Blue Parking Lot,"33.969773870307485, -117.32745961574527",,"BLUE/LIMITED GOLD PERMIT

Gold Permit can park after 6 pm Monday through Friday, all day on weekends (excludes Pay-By-Space and Reserved spaces.)",,33.96977387,-117.3274596,,https://driver.chargepoint.com/mapCenter/33.97010410193897/-117.32694347364568/19?view=list,
Lot 7,Red Parking Lot,,,RED PERMIT,,33.97489815,-117.3268339,,,
Lot 5,Blue Parking Lot,"33.97065583673345, -117.32948428390678",,BLUE PERMIT,,33.97065584,-117.3294843,,,
Lot 32,Gold Parking Lot,"33.9690367432436, -117.33087213345827",,GOLD PERMIT,Monday-Friday: 7:00 AM to 6:00 PM,33.96903674,-117.3308721,,,
Lot 30 [EV Charging],Gold Parking Lot,"33.9691596639425, -117.33278786975183",,GOLD PERMIT,,33.96915966,-117.3327879,,https://driver.chargepoint.com/stations/89055,
Lot 31,Blue Parking Lot,"33.967914860207294, -117.33492714887231",,BLUE PERMIT,,33.96791486,-117.3349271,,,
Lot 10,Red Parking Lot,"33.973698142790454, -117.3230562608926",,RED/HOUSING PERMIT,,33.97369814,-117.3230563,,,
Lot 14,Visitor Parking Lot,"33.9756315189103, -117.32180714167997",,VISITOR,,33.97563152,-117.3218071,,,
Big Springs [EV Charging],Housing Parking Lot,"33.976289068846775, -117.31931834848604",,HOUSING PERMIT,,33.97628907,-117.3193183,,https://driver.chargepoint.com/mapCenter/33.97491612623799/-117.31921775520802/18,
Panda Express,Dinning,"33.97419807457483, -117.32884461225846",https://live.staticflickr.com/65535/50814338946_bb3bd24fca_b.jpg,,"Monday-Thursday
9:00 AM - 8:00 PM

Friday
9:00 AM - 6:00 PM

Saturday
Closed

Sunday
Closed

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.97419807,-117.3288446,,,
Chronic Tacos,Dinning,"33.97412600606189, -117.32885719045595",https://live.staticflickr.com/65535/50814442527_91bf03ab90_b.jpg,,"Monday-Thursday
10:00 AM - 7:00 PM

Friday
10:00 AM - 6:00 PM

Saturday
Closed

Sunday
Closed

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.97412601,-117.3288572,,,
Hibachi-San,Dinning,"33.974045403047434, -117.32887777296094",https://live.staticflickr.com/65535/50814442452_3ff96a2bec_b.jpg,,"Monday-Thursday
11:00 AM - 6:00 PM

Friday
11:00 AM - 5:00 PM

Saturday
Closed

Sunday
Closed

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.9740454,-117.3288778,,,
The Habit Burger Grill,Dinning,"33.97459343228412, -117.32823791583179",https://live.staticflickr.com/65535/50814442457_d5501c7f90_b.jpg,,"Monday-Thursday
8:00 AM - 9:00 PM

Friday
8:00 AM - 9:00 PM

Saturday
11:30 AM - 5:00 PM

Sunday
Closed

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.97459343,-117.3282379,,,
Subway,Dinning,"33.97474864206091, -117.32805176648175",https://live.staticflickr.com/65535/50814442272_140947ea70_o.jpg,,"Monday-Thursday
8:00 AM - 9:00 PM

Friday
8:00 AM - 7:00 PM

Saturday
Closed

Sunday
Closed

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.97474864,-117.3280518,,,
The Coffee Bean & Tea Leaf,Dinning,"33.97453722110588, -117.32807402346926",https://live.staticflickr.com/65535/50813581978_a43a8bc067_o.jpg,,"Monday-Thursday
7:00 AM - 9:00 PM

Friday
7:00 AM - 8:00 PM

Saturday
Closed

Sunday
10:30 AM - 5:00 PM

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.97453722,-117.328074,,,
Bytes,Dinning,"33.975460315735994, -117.32631989957157",https://live.staticflickr.com/65535/50814339221_1c6b0a225d_b.jpg,,"Monday-Friday
8:00 AM - 4:00 PM

Saturday
Closed

Sunday
Closed

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.97546032,-117.3263199,,,
Emerbees,Dinning,"33.97655332834192, -117.3279913218604",https://live.staticflickr.com/65535/50813591393_4b7ca09e34_b.jpg,,"Monday-Friday
11:00AM - 4:00PM

Saturday
Closed

Sunday
Closed

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.97655333,-117.3279913,,,
Ivan’s at Hinderaker,Dinning,"33.973361399959366, -117.33132282834951",,,"Monday-Friday
7:30 AM - 4:00 PM

Saturday
Closed

Sunday
Closed

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.9733614,-117.3313228,,,
The Market at Glen Mor,Dinning,"33.975610756336714, -117.32100067225599",https://live.staticflickr.com/65535/50813591213_942f660b6f_b.jpg,,"Monday-Friday
7:00 AM - 11:00 PM

Saturday
8:00 AM - 9:00 PM

Sunday
8:00 AM - 12:00 PM

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.97561076,-117.3210007,,,
