Name,Type,Coords,latitude,longitude,Short,Structure
The Habit Burger Grill,Dinning,"33.97459343228412, -117.32823791583179",33.97459343,-117.3282379,,Dinning
Subway,Dinning,"33.97474864206091, -117.32805176648175",33.97474864,-117.3280518,,Dinning
The Coffee Bean & Tea Leaf,Dinning,"33.97453722110588, -117.32807402346926",33.97453722,-117.328074,,Dinning
Bytes,Dinning,"33.975460315735994, -117.32631989957157",33.97546032,-117.3263199,,Dinning
Emerbees,Dinning,"33.97655332834192, -117.3279913218604",33.97655333,-117.3279913,,Dinning
Ivan’s at Hinderaker,Dinning,"33.973361399959366, -117.33132282834951",33.9733614,-117.3313228,,Dinning
The Market at Glen Mor,Dinning,"33.975610756336714, -117.32100067225599",33.97561076,-117.3210007,,Dinning
Starbucks,Dinning,"33.97588002133932, -117.32010358255275",33.97588002,-117.3201036,,Dinning
Glasgow Restaurant,Dinning,"33.979169257661894, -117.32451504894244",33.97916926,-117.324515,,Dinning
Lothian Restaurant,Dinning,"33.97580618165497, -117.32248710853095",33.97580618,-117.3224871,,Dinning
The Barn,Dinning,"33.97227153218132, -117.33053847451447",33.97227153,-117.3305385,,Dinning
Scotty’s Market in HUB,Dinning,"33.97459520265385, -117.32870684864041",33.9745952,-117.3287068,,Dinning
Glasgow,Building,"33.97799917213968, -117.3245138796389",33.97799917,-117.3245139,,Classroom
Olmsted Hall 2,Building,"33.971557825117024, -117.32871365507008",33.97155783,-117.3287137,,Classroom
Scotty’s School of Medicine,Dinning,"33.973793504311416,-117.32443050702041",33.9737935,-117.3244305,,Dinning
School of Business Building,Building,"33.969444, -117.325230",33.969444,-117.32523,SBB,Classroom
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
,,,33.97489815,-117.3268339,,
